Request name,Open Comments,Request status,Benchmark product image.s,Link to Adaptation Process,Products Category & Family,Request's Brief,Request,Request line items,Buyer,Buyer's Company Description,Buyer Contact.s,Kosher,Kosher Type,Passover Kosher,Packaging preferance,Branding Requirements,Brief's Status,Link to Sourcing,Link to Suppliers,Link to Sampling Request,Link to Proposals,Link to Shipping,Link to Invoice & Receivable,Last Updated,First created,Assigned To,Files (Project status),Latest Supplier Added,Link to Action items,Link to Project status,Project Status,Project Statuses,Request ID
"SeaWeed Snacks, Ha'Sade organic",0,Cancelled ,convert.jpg | V747307_24112021155156.jpg | catalog_238939-l.jpg,,"Snacks, Healthy Snacks,Seaweed Snacks,RoastedFlavored","Sourcing Brief for Ha'Sade Organic

Company Description:Ha'Sade Organic is an Israeli company specializing in organic products, committed to providing consumers with high-quality, natural, and sustainably sourced foods. The company focuses on offering healthy options while adhering to strict kosher standards.

Product Specifications:
Seaweed Snacks (Ha'Sade Organic Brand)
Product Type: Seaweed Snacks
Packaging Preference: [Not specified in the document]
Branding Requirements: Private Label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required.

Competitor Pricing Benchmark:The document does not contain specific competitor pricing data.

Market Position and Target Market:Ha'Sade Organic is a key player in the organic food sector in Israel, catering to health-conscious consumers who prioritize organic and kosher-certified products. The company aims to expand its market reach by providing private-label solutions to retailers.

Business Objectives:
Source high-quality organic seaweed snacks with Passover compliance
Ensure competitive pricing and private-label branding
Provide innovative packaging solutions to appeal to health-conscious consumers
Strengthen supply chain management for efficient distribution

Contact Information:
Contact Person: Mrs. Tzvia Malenki-Lazar
Position: Food Technologist
Company Name: Ha'Sade Organic
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]

Let me know if you need any adjustments or additional details!",SeaWeed Snacks,"SeaWeed  fried Snacks organic  , 40.5 Gr.,Ha'Sade organic, Wasabi flavored seaweed snack, 40 Gr.,Ha'Sade organic, Banana flavored seaweed snack, 40 Gr.,Ha'Sade organic",Ha'Sade organic,"Ha-Sade is an Israeli company specializing in organic products, committed to providing consumers with healthy and natural food options. Their offerings are free from pesticides, preservatives, artificial colors, and genetically modified ingredients, ensuring high-quality standards for health-conscious customers. Ha-Sade's mission is to promote well-being by offering a diverse range of organic products suitable for individuals and families seeking nutritious and environmentally friendly food choices. 

The company offers a wide array of organic food categories to cater to various dietary preferences and culinary needs. Their product line includes sweet treats, savory snacks, pastas and couscous, baking and cooking essentials, organic products for children, gluten-free Asian organic items, organic juices, spreads and sauces, spelt products, and a selection of fruits, vegetables, and legumes. This extensive range ensures that customers have access to wholesome and organic ingredients for every meal and occasion. 

Ha-Sade's products are available at numerous points of sale across Israel, making it convenient for customers to access their organic offerings. While the exact number of retail locations is not specified, the company's website provides a comprehensive list of sales points, indicating a widespread distribution network. This accessibility reflects Ha-Sade's dedication to making organic products readily available to a broad customer base, supporting healthier eating habits throughout the country.  ","Mrs. tzvia Malenki- Lazar, Food Technologist,Ha'Sade organic",Required,Chief rabbinate,Can not be Passover Kosher,Stand- up bag,Private label,Not Complete,"SeaWeed Snacks, Ha'Sade organic","Bhars, Portugal",,"SeaWeed Snacks, Ha'Sade organic- Bhars, Portugal",,,"By Operation Manager on 20 Feb, 2025 at 10:53 AM","By Success Management on 16 Oct, 2024 at 4:23 PM",Success Management,,,,There are old correspondences on the subject; what needs to be done?,There are old correspondences on the subject; what needs to be done?,To Do,002253
"Organic Whole Rice and Legumes Snack, Harduf - All Organics",1,Request's done- New Proposal,%D7%97%D7%98%D7%99%D7%A3-%D7%91%D7%99%D7%A0%D7%92-%D7%A4%D7%A8%D7%99%D7%9B%D7%99%D7%95%D7%AA-%D7%AA%D7%99%D7%A8%D7%A1-%D7%95%D7%90%D7%95%D7%A8%D7%96-%D7%A9%D7%97%D7%95%D7%A8-%D7%90%D7%95%D7%A8%D7%92%D7%A0%D7%99-60-%D7%92%D7%A8%D7%9D-%D7%94%D7%A8%D7%93%D7%95%D7%A3.webp | Q347100_2862023151739_250_180.png | 7e99f76e016c2ef80267f51916baf206.png | M507989_2762023141656_250_250.png | 3c7f5f49504a2a2ee810f06e6b99fe32.jpg | F22256_2762023142357.png,,"Health and Specialty Foods, Organic Foods,Organic Snacks,CookiesSalty sancksWafersMini CrackersMini wafers","Sourcing Brief for Harduf - All Organics

Company Description:Harduf - All Organics is a leading Israeli organic food brand that originated from Kibbutz Harduf. The company is dedicated to providing high-quality organic products that meet the needs of health-conscious consumers, focusing on sustainability and adherence to kosher standards.

Product Specifications:
Organic Whole Rice and Legumes Snack (Harduf - All Organics Brand)
Product Type: Organic Whole Rice and Legumes Snack
Weight: [Not specified in the document]
Packaging Preference: [Not specified in the document]
Branding Requirements: Private Label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required.

Competitor Pricing Benchmark:The document does not contain specific competitor pricing data.

Market Position and Target Market:Harduf - All Organics is a recognized leader in Israel’s organic food sector, catering to health-conscious individuals looking for high-quality, kosher-certified snacks made from natural ingredients.

Business Objectives:
Source premium organic snacks compliant with Passover regulations
Maintain competitive pricing while ensuring high-quality standards
Promote brand visibility through private labeling
Optimize packaging to appeal to health-conscious consumers

Contact Information:
Contact Person: Mr. Gilad Ziv
Position: Sourcing Manager
Company Name: Shufersal
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]

Let me know if you need any further adjustments or additional details!",Organic Whole Rice and Legumes Snack,"Organic corn and black rice snack, Harduf - All Organics, 60 Gr.,Harduf - All Organics, Corn, whole rice, and buckwheat crispy snack 60 grams Harduf- All Organics, 60 Gr.,Harduf - All Organics, Corn Cakes Snack with Legumes 60 grams Harduf, 60 Gr.,Harduf - All Organics, Organic corn and buckwheat snack Harduf, 60 Gr.,Harduf - All Organics, Red Lentil and Organic Black Rice Snack-Harduf, 60 Gr.,Harduf - All Organics, Whole rice and pea crisp snack - Harduf, 60 Gr.,Harduf - All Organics",Harduf - All Organics,"Harduf is a leading Israeli organic food brand that originated from Kibbutz Harduf, established in 1982 in the Lower Galilee. The kibbutz members embraced an ecological lifestyle, focusing on biodynamic agriculture and organic food production. Their agricultural endeavors began with pesticide-free lettuce and expanded to diverse field crops. In 1992, they established the country's first organic dairy farm, followed by an organic bakery. Over time, Harduf evolved into a private entity, offering a wide range of organic products across Israel. ([Harduf](https://www.harduf.co.il/about?utm_source=chatgpt.com))

Harduf's product line includes over 120 organic items, such as legumes, grains, seeds, plant-based beverages, frozen fruits and vegetables, sesame products, baked goods, tomato products, flours, pastas, and dried fruits. These products are 100% organic, certified by Agrior and the Israeli Ministry of Agriculture. The brand emphasizes uncompromising quality, ensuring products are free from pesticides, genetic engineering, and contain minimal ingredients. 

Harduf's products are distributed nationwide through major retail chains, organic stores, online shops, and health food stores. While the exact number of points of sale is not specified, their extensive distribution network ensures that organic food is accessible to households throughout Israel. ","Mr. Gilad Ziv, Sourcing manager,Shufersal",Required,Chief rabbinate,Can not be Passover Kosher,Pillow bag,Private label,Not Complete,"Organic Whole Rice and Legumes Snack, Harduf - All Organics","Castelfood srl, Italy",,"Organic Whole Rice and Legumes Snack, Harduf - All Organics- Castelfood srl, Italy",,,"By Operation Manager on 20 Feb, 2025 at 8:43 AM","By Udi Stryk on 13 Oct, 2024 at 3:24 PM",Success Management,,,,,,,002243
"Organic frozen vegetables , Harduf - All Organics",0,Request's done- New Proposal,7290013994790.jpg | convert.jpg | 92a481_5f3f2d3606d4486fa51e96a9ecff5807~mv2.png,,"Frozen Foods, Frozen Vegetables,Mixed Vegetables,PeasCorn","Sourcing Brief for Harduf - All Organics

Company Description:Harduf - All Organics is a leading Israeli organic food brand that originated from Kibbutz Harduf. The company is dedicated to providing high-quality organic products, catering to health-conscious consumers who seek natural, sustainable, and kosher-certified food options.

Product Specifications:
Organic Frozen Vegetables (Harduf - All Organics Brand)
Product Type: Organic Frozen Vegetables
Weight: 600 Grams
Packaging Preference: [Not specified in the document]
Branding Requirements: Private Label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required.

Competitor Pricing Benchmark:The document does not contain specific competitor pricing data.

Market Position and Target Market:Harduf - All Organics is a trusted brand in Israel’s organic food market, focusing on environmentally conscious consumers and individuals seeking high-quality kosher-certified frozen food products.

Business Objectives:
Source high-quality organic frozen vegetables that comply with Passover standards
Offer competitive pricing while maintaining branding consistency under a private label
Explore sustainable packaging options to enhance market appeal
Ensure efficient supply chain management for seamless delivery

Contact Information:
Contact Person: Mr. Gilad Ziv
Position: Sourcing Manager
Company Name: Shufersal
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]

Let me know if you need any adjustments or additional details!",Organic frozen vegetables ,"Organic frozen vegetables , Harduf - All Organics, 600 Gr.,Harduf - All Organics, Organic frozen vegetable pick, 800 Gr.,Harduf - All Organics, Organic frozen tender peas, 800 Gr.,Harduf - All Organics, Organic frozen sweet corn kernels, 800 Gr.,Harduf - All Organics",Harduf - All Organics,"Harduf is a leading Israeli organic food brand that originated from Kibbutz Harduf, established in 1982 in the Lower Galilee. The kibbutz members embraced an ecological lifestyle, focusing on biodynamic agriculture and organic food production. Their agricultural endeavors began with pesticide-free lettuce and expanded to diverse field crops. In 1992, they established the country's first organic dairy farm, followed by an organic bakery. Over time, Harduf evolved into a private entity, offering a wide range of organic products across Israel. ([Harduf](https://www.harduf.co.il/about?utm_source=chatgpt.com))

Harduf's product line includes over 120 organic items, such as legumes, grains, seeds, plant-based beverages, frozen fruits and vegetables, sesame products, baked goods, tomato products, flours, pastas, and dried fruits. These products are 100% organic, certified by Agrior and the Israeli Ministry of Agriculture. The brand emphasizes uncompromising quality, ensuring products are free from pesticides, genetic engineering, and contain minimal ingredients. 

Harduf's products are distributed nationwide through major retail chains, organic stores, online shops, and health food stores. While the exact number of points of sale is not specified, their extensive distribution network ensures that organic food is accessible to households throughout Israel. ","Mr. Gilad Ziv, Sourcing manager,Shufersal",Required,Chief rabbinate,Only for Passover,Pillow bag,Private label,Not Complete,"Organic frozen vegetables , Harduf - All Organics","GreenYard, Belgium",,"Organic frozen vegetables , Harduf - All Organics- GreenYard, Belgium",,,"By Udi Stryk on 17 Feb, 2025 at 11:23 AM","By Udi Stryk on 28 Oct, 2024 at 11:15 AM",Success Management,,,,,,,002258
"Organic Peeled tomatoes 425 gr, Harduf - All Organics",1,in process,convert.jpg,,"Pantry Staples, Canned/ Preserved Foods,Vegetables,Canned/ Preserved vegetablesCanned/ Preserved TomtoesChopped Tomtoes","Sourcing Brief for Harduf - All Organics

Company Description:Harduf - All Organics is a leading Israeli organic food brand that originated from Kibbutz Harduf. Established with a mission to provide high-quality organic products, the company is dedicated to sustainability and health-conscious consumers, offering a wide range of organic food items certified to the highest standards.

Product Specifications:
Organic Peeled Tomatoes (Harduf - All Organics Brand)
Volume: 425 gr
Packaging Preference: Carton Box
Branding Requirements: Supplier Label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required.

Competitor Pricing Benchmark:The document does not contain specific competitor pricing data.

Market Position and Target Market:Harduf - All Organics is a well-respected brand in Israel’s organic food market, targeting health-conscious consumers and those seeking premium kosher-certified products. The company aims to maintain its leadership position by offering sustainable, high-quality organic options.

Business Objectives:
Source high-quality organic peeled tomatoes that meet Passover compliance
Maintain competitive pricing and branding consistency with supplier labels
Provide environmentally friendly packaging (carton box)
Optimize logistics and procurement to meet consumer demand

Contact Information:
Contact Person: Mr. Elad Lahav
Position: General Manager
Company Name: Harduf - All Organics
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]
Contact Person: Mr. Lior Unger
Position: Project Manager
Company Name: Harduf - All Organics
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]

Let me know if you need any adjustments or additional details!",Organic Peeled tomatoes 425 gr,"Organic Peeled tomatoes 425 gr - LA DORIA, 400 Gr.,Harduf - All Organics",Harduf - All Organics,"Harduf is a leading Israeli organic food brand that originated from Kibbutz Harduf, established in 1982 in the Lower Galilee. The kibbutz members embraced an ecological lifestyle, focusing on biodynamic agriculture and organic food production. Their agricultural endeavors began with pesticide-free lettuce and expanded to diverse field crops. In 1992, they established the country's first organic dairy farm, followed by an organic bakery. Over time, Harduf evolved into a private entity, offering a wide range of organic products across Israel. ([Harduf](https://www.harduf.co.il/about?utm_source=chatgpt.com))

Harduf's product line includes over 120 organic items, such as legumes, grains, seeds, plant-based beverages, frozen fruits and vegetables, sesame products, baked goods, tomato products, flours, pastas, and dried fruits. These products are 100% organic, certified by Agrior and the Israeli Ministry of Agriculture. The brand emphasizes uncompromising quality, ensuring products are free from pesticides, genetic engineering, and contain minimal ingredients. 

Harduf's products are distributed nationwide through major retail chains, organic stores, online shops, and health food stores. While the exact number of points of sale is not specified, their extensive distribution network ensures that organic food is accessible to households throughout Israel. ","Mr. Elad Lahav, General manager,Harduf - All Organics, Mr. Lior  Unger, Project Manager,Harduf - All Organics",Required,Chief rabbinate,No Need,Metal Tin,"Supplier label, Raw material/ No- Brand",Not Complete,"Organic Peeled tomatoes 425 gr, Harduf - All Organics","La Doria, Italy",,"Organic Peeled tomatoes 425 gr, Harduf - All Organics- La Doria, Italy",,,"By Operation Manager on 13 Mar, 2025 at 9:25 AM","By Success Management on 23 Jan, 2025 at 9:18 AM","Operation Manager, Udi Stryk",,,,Gabi sent email to elad abot container that can reach Israel,Gabi sent email to elad abot container that can reach Israel,Complete,002282
"Organic Frozen vegetables, Harduf - All Organics",0,in process,,,"Frozen products, Frozen Vegetables,Frozen Vegetables,Frozen vegetables & fruits- organic","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Organic Frozen vegetables,"Sweetcorn supersweet kernel no cutting size- Ardo  , 0.6 Gr.,Harduf - All Organics, wokmix - Ardo  30% Organic broccoli, 20% Organic carrot strips, 20% Organic yellow carrot strips, 12% Organic green beans, 9% Organic onions diced, 9% Organic red pepper diced, 0.6 Gr.,Harduf - All Organics, Ardo org summermix, 0.6 Gr.,Harduf - All Organics, Ardo org broccolimix 4x2,5kg, 0.6 Gr.,Harduf - All Organics, Ardo org pea garden not calibrated  , 0.6 Gr.,Harduf - All Organics, Ardo org bean gr whole blanch medium no cutting size , 0.6 Gr.,Harduf - All Organics, Ardo org bean gr cut blanch fine 40mm , 0.6 Gr.,Harduf - All Organics",Harduf - All Organics,"Harduf is a leading Israeli organic food brand that originated from Kibbutz Harduf, established in 1982 in the Lower Galilee. The kibbutz members embraced an ecological lifestyle, focusing on biodynamic agriculture and organic food production. Their agricultural endeavors began with pesticide-free lettuce and expanded to diverse field crops. In 1992, they established the country's first organic dairy farm, followed by an organic bakery. Over time, Harduf evolved into a private entity, offering a wide range of organic products across Israel. ([Harduf](https://www.harduf.co.il/about?utm_source=chatgpt.com))

Harduf's product line includes over 120 organic items, such as legumes, grains, seeds, plant-based beverages, frozen fruits and vegetables, sesame products, baked goods, tomato products, flours, pastas, and dried fruits. These products are 100% organic, certified by Agrior and the Israeli Ministry of Agriculture. The brand emphasizes uncompromising quality, ensuring products are free from pesticides, genetic engineering, and contain minimal ingredients. 

Harduf's products are distributed nationwide through major retail chains, organic stores, online shops, and health food stores. While the exact number of points of sale is not specified, their extensive distribution network ensures that organic food is accessible to households throughout Israel. ","Mr. Elad Lahav, General manager,Harduf - All Organics, Mrs. Liat Ben- Haim, Import & Regulation,Harduf - All Organics, Mr. Lior  Unger, Project Manager,Harduf - All Organics",Required,Chief rabbinate,Can not be Passover Kosher,Pillow bag,Private label,Not Complete,,"Ardo, Belgium",,"Organic Frozen vegetables, Harduf - All Organics- Ardo, Belgium",,,"By Operation Manager on 9 Mar, 2025 at 9:50 AM","By Operation Manager on 16 Feb, 2025 at 4:54 PM",Operation Manager,forecast organic frozen vegetables 600+ 800gr 5.2.25 (002).xlsx,,Organic Peeled Tomatoes- All organic,"Gabi sent forcast, Lior sent a email with qestion, Neil sent us prices, I sent prices to Lior and Elad waiting for reply","Gabi sent forcast, Lior sent a email with qestion, Neil sent us prices, I sent prices to Lior and Elad waiting for reply",Complete | Complete | Complete | To Do,002301
"Organic Whole Peeled and Chopped Tomatoes, Harduf - All Organics",0,in process,7290017325507 (2).jpg | 7290017325477 (2).jpg,,"Pantry Staples, Canned/ Preserved Foods,Vegetables,Tomato","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Organic Whole Peeled and Chopped Tomatoes,"Organic Whole Peeled , 400 Gr.,Harduf - All Organics, Chopped Tomatoes 400*3, 400 Gr.,Harduf - All Organics, tomato paste , 100 Gr.,Harduf - All Organics",Harduf - All Organics,"Harduf is a leading Israeli organic food brand that originated from Kibbutz Harduf, established in 1982 in the Lower Galilee. The kibbutz members embraced an ecological lifestyle, focusing on biodynamic agriculture and organic food production. Their agricultural endeavors began with pesticide-free lettuce and expanded to diverse field crops. In 1992, they established the country's first organic dairy farm, followed by an organic bakery. Over time, Harduf evolved into a private entity, offering a wide range of organic products across Israel. ([Harduf](https://www.harduf.co.il/about?utm_source=chatgpt.com))

Harduf's product line includes over 120 organic items, such as legumes, grains, seeds, plant-based beverages, frozen fruits and vegetables, sesame products, baked goods, tomato products, flours, pastas, and dried fruits. These products are 100% organic, certified by Agrior and the Israeli Ministry of Agriculture. The brand emphasizes uncompromising quality, ensuring products are free from pesticides, genetic engineering, and contain minimal ingredients. 

Harduf's products are distributed nationwide through major retail chains, organic stores, online shops, and health food stores. While the exact number of points of sale is not specified, their extensive distribution network ensures that organic food is accessible to households throughout Israel. ","Mr. Lior  Unger, Project Manager,Harduf - All Organics, Mr. Elad Lahav, General manager,Harduf - All Organics",,Chief rabbinate,No Need,"Cluster of cans (3*400 gr), Metal Tin",Private label,Not Complete,,"Ekoterra, Italy",,,,,"By Operation Manager on 12 May, 2025 at 9:53 AM","By Operation Manager on 13 Mar, 2025 at 9:23 AM",Operation Manager,,,,"I send  to lior and elad the qustion supplier and they answer me., I sent email to lior victoria cant prdouce tomato paste in the packaging indicated., I sent pireluigi Lior requset and i am waiting for propusal","I send  to lior and elad the qustion supplier and they answer me., I sent email to lior victoria cant prdouce tomato paste in the packaging indicated., I sent pireluigi Lior requset and i am waiting for propusal",To Do | To Do | To Do,002323
"Pasta 500 g L&R Global, L&R Global",0,New,,,"Pantry Staples, Grains,PastaGnocchi,SpaghettiPenneFusiliFarfaleGnocchi","Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Pasta 500 g L&R Global,"Penne Pasta, 500 Gr.,L&R Global, Fusilli Pasta, 500 Gr.,L&R Global, Farfalle Pasta, 500 Gr.,L&R Global, Gomiti Pasta, 500 Gr.,L&R Global, Tofette Pasta, 500 Gr.,L&R Global",L&R Global,,"Mrs. Lior Geron-Kaminski, commercial manager,L&R Global",Required,Chief rabbinate,Can not be Passover Kosher,"Pillow bag, Stand- up bag",Private label,Not Complete,,"La Doria, Italy",,,,,"By Operation Manager on 27 Feb, 2025 at 9:59 PM","By Operation Manager on 27 Feb, 2025 at 9:59 PM","Operation Manager, Udi Stryk",,,,,,,002314
"Extra Virgin Olive Oil, L&R Global",0,New,,,,"Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Extra Virgin Olive Oil,,L&R Global,,"Mrs. Lior Geron-Kaminski, commercial manager,L&R Global",,Chief rabbinate,Only for Passover,,Supplier label,Not Complete,,"Mueloliva , Spain",,,,,"By Success Management on 4 Mar, 2025 at 11:40 AM","By Success Management on 4 Mar, 2025 at 11:36 AM",,,,,,,,002318
"Tomatoes , L&R Global",0,New,,,,"Prompt for Chat- GPT’s Sourcing Brief Creation
""Create a professional sourcing brief for [Insert Company Name] using the attached PDF file. The brief should include:
Company Description: A 50-word description of the company.
Product Specifications: Include product types, specifications, and packaging preferences. Add images from the file for each product type.
Kosher Requirements: Indicate if required and specify certification (e.g., Chief Rabbinate, Passover-specific).
Competitor Pricing Benchmark: Extract pricing data (e.g., ILS 6.90 per 350 gr product) from the file to include as a benchmark.
Market Position and Target Market: Highlight the company’s position and primary consumer focus.
Business Objectives: Outline key sourcing objectives, such as quality, pricing, and branding.
Contact Information: Include fields for contact person, position, company name, email, phone, website, and address.
Ensure the document includes integrated product images where specified and is formatted professionally.""",Tomatoes ,,L&R Global,,"Mrs. Lior Geron-Kaminski, commercial manager,L&R Global",,Chief rabbinate,Only for Passover,,Supplier label,Not Complete,,"La Doria, Italy",,,,,"By Success Management on 4 Mar, 2025 at 11:40 AM","By Success Management on 4 Mar, 2025 at 11:39 AM",,,,,,,,002319
"MUNCHIES SPICY RICE AND  PEANUTS 400GR, Leiman Schlussel Ltd",0,in process,large_e2d7d553-e6b4-4d37-857c-0c257e9344a6.webp | convert.jpg,,"Snacks, Savory Snacks,Crackers,Cheese CrackersGraham CrackersRice CrackersSaltine CrackersWhole Grain CrackersMini Crackers","Sourcing Brief for Leiman Schlussel Ltd

Company Description:Leiman Schlussel Ltd. is a leading Israeli company specializing in the import, marketing, and distribution of high-quality food products. The company offers a wide range of snacks, confectionery, and other grocery items, catering to both retail and wholesale markets with a strong focus on quality and customer satisfaction.

Product Specifications:
MUNCHIES SPICY RICE AND PEANUTS (Leiman Schlussel Ltd Brand)
Product Type: Munchies Spicy Rice and Peanuts
Weight: 400 gr (200 gr for Shufersal)
Packaging Preference: [Not specified in the document]
Branding Requirements: Private Label
Kosher Certification: Required, Chief Rabbinate (Passover-specific)
Status: Not Complete
Product images were not provided in the document.

Kosher Requirements:
Certification: Chief Rabbinate
Passover-specific compliance required.

Competitor Pricing Benchmark:The document does not contain specific competitor pricing data.

Market Position and Target Market:Leiman Schlussel Ltd. is a well-established player in Israel's snack food market, targeting a wide demographic of consumers looking for high-quality, kosher-certified snack products.

Business Objectives:
Source premium-quality snack products that comply with kosher and Passover standards
Maintain competitive pricing and branding consistency under a private label
Optimize packaging to meet market preferences and consumer needs
Strengthen distribution channels to ensure timely product availability

Contact Information:
Contact Person: Mrs. Yael
Position: Brand Manager
Company Name: Leiman Schlussel Ltd
Email: [Not provided]
Phone: [Not provided]
Website: [Not provided]
Address: [Not provided]

Let me know if you need any adjustments or additional details!",MUNCHIES SPICY RICE AND  PEANUTS 400GR,"MUNCHIES FLAMIN HOT  PEANUTS 400GR, Shufersal, 200 Gr.,Leiman Schlussel Ltd, MUNCHIES SPICY RICE AND  PEANUTS 400GR, Shufersal, 200 Gr.,Leiman Schlussel Ltd",Leiman Schlussel Ltd,"L.S. Ltd. is a leading Israeli company specializing in the import, marketing, and distribution of a wide range of consumer products. Established in 1955, the company has built a strong reputation for representing numerous international brands in Israel. Their extensive product portfolio includes confectionery, snacks, beverages, and household items, catering to diverse consumer preferences. 

The company's product range encompasses various food categories such as chewing gums, pastries, chocolates, candies, pralines, savory snacks, cereals and cereal bars, cooking and baking products, and coffee and beverages. This diverse selection ensures that consumers have access to a wide array of high-quality products to suit their tastes and needs. 

L.S. Ltd. operates a comprehensive distribution network across Israel, supplying their products to numerous retail outlets, including supermarkets, convenience stores, and specialty shops. While the exact number of points of sale and their specific formats are not detailed on the company's website, their widespread presence ensures that consumers throughout the country can easily access their diverse product offerings.  ","Mrs. Yael, Brand Manager,Leiman Schlussel Ltd",Required,Mehadrin Kosher,No Need,Big- Bag/ Bulk size,Raw material/ No- Brand,Not Complete,"MUNCHIES SPICY RICE AND  PEANUTS 400GR, Leiman Schlussel Ltd","Maas Intersales, Netherlands","Maas Intersales, Netherlands ShipTo Shufersal","MUNCHIES SPICY RICE AND  PEANUTS 400GR, Leiman Schlussel Ltd- Maas Intersales, Netherlands",,,"By Operation Manager on 20 May, 2025 at 12:24 PM","By Udi Stryk on 5 Oct, 2024 at 10:56 PM",Success Management,Fulian Hanwei LOC.pdf | הסכם עמלות ליימן שליסל.pdf | Scanned from a Xerox Multifunction Printer.pdf,,,"Gabi sent a contract- Orit seny it back ( We need to sign), Orit asked for new samples, we spoke with Bernard he will send it, Orit will reply today about proccing the projects, bernard maas sent me the lable, he is waiting for order., I checked with the rabbi of Badatz Chug Chatam Sofer PT, Orit asked me a few details and i sent email to bernarad and i am waiting for reply, Preforma invoice and payment, I’ve sent all the materials to Faina for preparing the label., I sent the kosher certification to bernard and I am waiting for prouction date","which files gabi send to orit and for what she need to respond, Gabi ask for proforma invoice need to check if we recived., After receiving preforma invoice, supplier will send new samples, check if he sent, Supplier send us a kosher certification, Gabi send orit a contract, Gabi sent a contract- Orit seny it back ( We need to sign), Orit asked for new samples, we spoke with Bernard he will send it, Orit will reply today about proccing the projects, I checked with the rabbi of Badatz Chug Chatam Sofer PT, Orit asked me a few details and i sent email to bernarad and i am waiting for reply, Preforma invoice and payment, I’ve sent all the materials to Faina for preparing the label., Malki did me the lable, I sent the kosher certification to bernard and I am waiting for prouction date",Complete | Complete | Complete | Complete | Complete | Complete | Complete | Complete | Complete | Complete | Complete | Complete | Complete | To Do,002211
