Invoice ID,Receipt ID,Invoice ID/ Name (From Priority),Invoice Issue Date,Invoice/ Receivable files,Differnce between Shipping & Invoice (ILS),Order,Shipping (Lookup),Shipping,Shipment number (Buyer's ref.),Shipping Amount,Commission from Buyer (Eur/ $),VAT Amount ₪,"Grand total, before VAT ₪",Invoice Total Amount (After VAT) ₪,Exchange Rate (EU Central Bank),Received amount ₪,Buyer Company,Supplier,Status,Invoice type,Invoice description,Invoice company (Issuer),First Created,Order line (Order Line)
"20050, 150  - Order: 000406-SHF [115448],Ardo, Belgium",,20050,31/5/2025,20050.pdf,24579.45,Order: 000406-SHF [115448],"60  - Order: 000406-SHF [115448],Ardo, Belgium | 10, 30  - Order: 000406-SHF [115448],Ardo, Belgium | 110  - Order: 000406-SHF [115448],Ardo, Belgium | 20  - Order: 000406-SHF [115448],Ardo, Belgium | 40  - Order: 000406-SHF [115448],Ardo, Belgium | 100  - Order: 000406-SHF [115448],Ardo, Belgium | 120  - Order: 000406-SHF [115448],Ardo, Belgium | 50  - Order: 000406-SHF [115448],Ardo, Belgium | 90  - Order: 000406-SHF [115448],Ardo, Belgium | 80  - Order: 000406-SHF [115448],Ardo, Belgium | 70  - Order: 000406-SHF [115448],Ardo, Belgium | 130  - Order: 000406-SHF [115448],Ardo, Belgium | 160  - Order: 000406-SHF [115448],Ardo, Belgium | 140  - Order: 000406-SHF [115448],Ardo, Belgium | 150  - Order: 000406-SHF [115448],Ardo, Belgium","150  - Order: 000406-SHF [115448],Ardo, Belgium",,24579.45,737.3835,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:29 PM",
"20051, 160  - Order: 000406-SHF [115448],Ardo, Belgium",,20051,31/5/2025,20051.pdf,20298.6,Order: 000406-SHF [115448],"60  - Order: 000406-SHF [115448],Ardo, Belgium | 10, 30  - Order: 000406-SHF [115448],Ardo, Belgium | 110  - Order: 000406-SHF [115448],Ardo, Belgium | 20  - Order: 000406-SHF [115448],Ardo, Belgium | 40  - Order: 000406-SHF [115448],Ardo, Belgium | 100  - Order: 000406-SHF [115448],Ardo, Belgium | 120  - Order: 000406-SHF [115448],Ardo, Belgium | 50  - Order: 000406-SHF [115448],Ardo, Belgium | 90  - Order: 000406-SHF [115448],Ardo, Belgium | 80  - Order: 000406-SHF [115448],Ardo, Belgium | 70  - Order: 000406-SHF [115448],Ardo, Belgium | 130  - Order: 000406-SHF [115448],Ardo, Belgium | 160  - Order: 000406-SHF [115448],Ardo, Belgium | 140  - Order: 000406-SHF [115448],Ardo, Belgium | 150  - Order: 000406-SHF [115448],Ardo, Belgium","160  - Order: 000406-SHF [115448],Ardo, Belgium",,20298.6,608.958,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:33 PM",
"20000, - Order: 000529-PRP [C24/00073],Solana, Italy",,20000,25/5/2025,2000.pdf,21340,Order: 000529-PRP [C24/00073],"- Order: 000529-PRP [C24/00073],Solana, Italy","- Order: 000529-PRP [C24/00073],Solana, Italy",,21340,746.9,,,,3.9374,,ProPlus,"Solana, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 30 Apr, 2025 at 9:32 AM",
"20032, 10  - Order: 000211-SHF [115407],Vicenzi, Italy",,20032,19/5/2025,20032-10085.pdf,42379.2,Order: 000211-SHF [115407],"20, 40, 30, 60, 50  - Order: 000211-SHF [115407],Vicenzi, Italy | 10  - Order: 000211-SHF [115407],Vicenzi, Italy","10  - Order: 000211-SHF [115407],Vicenzi, Italy",,42379.2,1483.272,,,,4.0888,,Shufersal,"Vicenzi, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 11:59 AM",
"20056, 1, 2  - Order: 000492-SCH [5200016785],Pata S.P.A, Italy",,20056,7/5/2025,20056.pdf,11258,Order: 000492-SCH [5200016785],"1, 2  - Order: 000492-SCH [5200016785],Pata S.P.A, Italy","1, 2  - Order: 000492-SCH [5200016785],Pata S.P.A, Italy",,11258,225.16,,,,4.0984,,Schestowitz,"Pata S.P.A, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 7 May, 2025 at 12:47 PM",
"20040, 50  - Order: 000215-SHF [115497],La Doria, Italy50  - Order: 000215-SHF [115497],La Doria, Italy",,20040,6/5/2025,20040.pdf,33440,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","50  - Order: 000215-SHF [115497],La Doria, Italy, 50  - Order: 000215-SHF [115497],La Doria, Italy",,33440,1170.4,,,,4.0984,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 7:09 PM",
"20041, 60  - Order: 000215-SHF [115497],La Doria, Italy60  - Order: 000215-SHF [115497],La Doria, Italy",,20041,6/5/2025,20041.pdf,33440,Order: 000215-SHF [115497],"10  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 10  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 30  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 20  - Order: 000215-SHF [115497],La Doria, Italy | 40  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 50  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 60  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 70  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 80  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 90  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy | 100  - Order: 000215-SHF [115497],La Doria, Italy","60  - Order: 000215-SHF [115497],La Doria, Italy, 60  - Order: 000215-SHF [115497],La Doria, Italy",,33440,1170.4,,,,4.0984,,Shufersal,"La Doria, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 7:36 PM",
"20042, 120  - Order: 000217-SHF [115501],Ardo, Belgium",,20042,6/5/2025,20042.pdf,20298.6,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","120  - Order: 000217-SHF [115501],Ardo, Belgium",,20298.6,608.958,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 7:43 PM",
"20043, 150  - Order: 000217-SHF [115501],Ardo, Belgium",,20043,6/5/2025,20043.pdf,20298.6,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","150  - Order: 000217-SHF [115501],Ardo, Belgium",,20298.6,608.958,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 7:54 PM",
"20044, 100  - Order: 000217-SHF [115501],Ardo, Belgium",,20044,6/5/2025,20044.pdf,23796.72,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","100  - Order: 000217-SHF [115501],Ardo, Belgium",,23796.72,713.9016,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:04 PM",
"20045, 110  - Order: 000217-SHF [115501],Ardo, Belgium",,20045,6/5/2025,20045.pdf,24540.44,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","110  - Order: 000217-SHF [115501],Ardo, Belgium",,24540.44,736.2132,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:08 PM",
"20046, 130  - Order: 000217-SHF [115501],Ardo, Belgium",,20046,6/5/2025,20046.pdf,24008.4,Order: 000217-SHF [115501],"20  - Order: 000217-SHF [115501],Ardo, Belgium | 10  - Order: 000217-SHF [115501],Ardo, Belgium | 30  - Order: 000217-SHF [115501],Ardo, Belgium | 40  - Order: 000217-SHF [115501],Ardo, Belgium | 50  - Order: 000217-SHF [115501],Ardo, Belgium | 60  - Order: 000217-SHF [115501],Ardo, Belgium | 70  - Order: 000217-SHF [115501],Ardo, Belgium | 90  - Order: 000217-SHF [115501],Ardo, Belgium | 80  - Order: 000217-SHF [115501],Ardo, Belgium | 130  - Order: 000217-SHF [115501],Ardo, Belgium | 110  - Order: 000217-SHF [115501],Ardo, Belgium | 100  - Order: 000217-SHF [115501],Ardo, Belgium | 150  - Order: 000217-SHF [115501],Ardo, Belgium | 120  - Order: 000217-SHF [115501],Ardo, Belgium | 140  - Order: 000217-SHF [115501],Ardo, Belgium","130  - Order: 000217-SHF [115501],Ardo, Belgium",,24008.4,720.252,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:13 PM",
"20047, 10  - Order: 000463-SHF [115506],Ardo, Belgium",,20047,6/5/2025,20047.pdf,21142.8,Order: 000463-SHF [115506],"10  - Order: 000463-SHF [115506],Ardo, Belgium | 20  - Order: 000463-SHF [115506],Ardo, Belgium | 30  - Order: 000463-SHF [115506],Ardo, Belgium | 40  - Order: 000463-SHF [115506],Ardo, Belgium","10  - Order: 000463-SHF [115506],Ardo, Belgium",,21142.8,634.284,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:18 PM",
"20048, 110  - Order: 000314-SHF [115550],Ardo, Belgium",,20048,6/5/2025,20048.pdf,23796.72,Order: 000314-SHF [115550],"20  - Order: 000314-SHF [115550],Ardo, Belgium | 30  - Order: 000314-SHF [115550],Ardo, Belgium | 40  - Order: 000314-SHF [115550],Ardo, Belgium | 50  - Order: 000314-SHF [115550],Ardo, Belgium | 10  - Order: 000314-SHF [115550],Ardo, Belgium | 70  - Order: 000314-SHF [115550],Ardo, Belgium | 60  - Order: 000314-SHF [115550],Ardo, Belgium | 100  - Order: 000314-SHF [115550],Ardo, Belgium | 80  - Order: 000314-SHF [115550],Ardo, Belgium | 90  - Order: 000314-SHF [115550],Ardo, Belgium | 110  - Order: 000314-SHF [115550],Ardo, Belgium | 120  - Order: 000314-SHF [115550],Ardo, Belgium","110  - Order: 000314-SHF [115550],Ardo, Belgium",,23796.72,713.9016,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:22 PM",
"20049, 140  - Order: 000406-SHF [115448],Ardo, Belgium",,20049,6/5/2025,20049.pdf,23796.72,Order: 000406-SHF [115448],"60  - Order: 000406-SHF [115448],Ardo, Belgium | 10, 30  - Order: 000406-SHF [115448],Ardo, Belgium | 110  - Order: 000406-SHF [115448],Ardo, Belgium | 20  - Order: 000406-SHF [115448],Ardo, Belgium | 40  - Order: 000406-SHF [115448],Ardo, Belgium | 100  - Order: 000406-SHF [115448],Ardo, Belgium | 120  - Order: 000406-SHF [115448],Ardo, Belgium | 50  - Order: 000406-SHF [115448],Ardo, Belgium | 90  - Order: 000406-SHF [115448],Ardo, Belgium | 80  - Order: 000406-SHF [115448],Ardo, Belgium | 70  - Order: 000406-SHF [115448],Ardo, Belgium | 130  - Order: 000406-SHF [115448],Ardo, Belgium | 160  - Order: 000406-SHF [115448],Ardo, Belgium | 140  - Order: 000406-SHF [115448],Ardo, Belgium | 150  - Order: 000406-SHF [115448],Ardo, Belgium","140  - Order: 000406-SHF [115448],Ardo, Belgium",,23796.72,713.9016,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:26 PM",
"20052, 10  - Order: 000324-SHF [115504],Ciemme, Italy",,20052,6/5/2025,20052.pdf,30287.88,Order: 000324-SHF [115504],"10  - Order: 000324-SHF [115504],Ciemme, Italy","10  - Order: 000324-SHF [115504],Ciemme, Italy",,30287.88,1060.0758,,,,4.0984,,Shufersal,,New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:39 PM",
"20053, 20  - Order: 000463-SHF [115506],Ardo, Belgium",,20053,6/5/2025,20053.pdf,20298.6,Order: 000463-SHF [115506],"10  - Order: 000463-SHF [115506],Ardo, Belgium | 20  - Order: 000463-SHF [115506],Ardo, Belgium | 30  - Order: 000463-SHF [115506],Ardo, Belgium | 40  - Order: 000463-SHF [115506],Ardo, Belgium","20  - Order: 000463-SHF [115506],Ardo, Belgium",,20298.6,608.958,,,,4.0984,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 8:44 PM",
"20054, 1  - Order: 000513-PRP [92481 / #1],Bergia frites, Netherlands",,20054,6/5/2025,20054.pdf,26460,Order: 000513-PRP [92481 / #1],"1  - Order: 000513-PRP [92481 / #1],Bergia frites, Netherlands","1  - Order: 000513-PRP [92481 / #1],Bergia frites, Netherlands",,26460,529.2,,,,4.0984,,ProPlus,"Bergia frites, Netherlands",New,Commision invoice,,Foodz.ex,"By Success Management on 6 May, 2025 at 9:02 PM",
"20036, - Order: 000535-PRP [],SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy",,20036,30/4/2025,,19875,Order: 000535-PRP [],"- Order: 000535-PRP [],SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy","- Order: 000535-PRP [],SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy",,19875,695.625,,,,4.1235,,ProPlus,"SAC S.p.A. Conserve Alimentari/ Victoria s.a.c, Italy",New,Commision invoice,,Foodz.ex,"By Success Management on 30 Apr, 2025 at 10:27 AM",
", 130  - Order: 000406-SHF [115448],Ardo, Belgium",,,24/4/2025,20016-10049.pdf,20298.6,Order: 000406-SHF [115448],"60  - Order: 000406-SHF [115448],Ardo, Belgium | 10, 30  - Order: 000406-SHF [115448],Ardo, Belgium | 110  - Order: 000406-SHF [115448],Ardo, Belgium | 20  - Order: 000406-SHF [115448],Ardo, Belgium | 40  - Order: 000406-SHF [115448],Ardo, Belgium | 100  - Order: 000406-SHF [115448],Ardo, Belgium | 120  - Order: 000406-SHF [115448],Ardo, Belgium | 50  - Order: 000406-SHF [115448],Ardo, Belgium | 90  - Order: 000406-SHF [115448],Ardo, Belgium | 80  - Order: 000406-SHF [115448],Ardo, Belgium | 70  - Order: 000406-SHF [115448],Ardo, Belgium | 130  - Order: 000406-SHF [115448],Ardo, Belgium | 160  - Order: 000406-SHF [115448],Ardo, Belgium | 140  - Order: 000406-SHF [115448],Ardo, Belgium | 150  - Order: 000406-SHF [115448],Ardo, Belgium","130  - Order: 000406-SHF [115448],Ardo, Belgium",,20298.6,608.958,,,,3.9924,,Shufersal,"Ardo, Belgium",New,Commision invoice,,Foodz.ex,"By Success Management on 24 Apr, 2025 at 10:02 AM",
