Request for Samples Title,Sample Request Status,Sample Payment Status,Samples images,Open Comments,Seller's Company Name,Buyer Company name,RFQ - Request for Quotation,Product,Seller Comment,ShipTo address same to company address?,Seller Company Email,Delivery Phone Number,Other sample from the same Company,Sample Quantity asked for,Samples Description,Comments and Delivery address,Samples Delivery Cost,Buyer - Sample Payment Status,Seller - Sample Payment Status,Courier company name,AWB Tracking ID,Tracking Url,Shipping Documentations,ETA,Sample Feedback from Buyer,Proposal Request ?,First Created,Last Updated,"ID",Sample Request Status
"Castelfood srl, Italy ShipTo Ta'aman",Sample Shipped,,,0,"Castelfood srl, Italy",Ta'aman,"Crispy Triangles snack Ta'aman, Ta'aman",,,,info@castelfood.it,,,," 287448132468 
287448207139",,,,,FEDEX,1ZH8139E6708651157 ,,,,,No,"By Operation Manager on 18 Mar, 2025","By Operation Manager on 22 Apr, 2025",#146,
"Ciemme, Italy ShipTo Shufersal",Sample Delivered,,convert.jpg,0,"Ciemme, Italy",Shufersal,,"000099 - gnocchi tri-color gluten-free 400(KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",,Yes.,ciemme@ciemme.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#095,
"Ciemme, Italy ShipTo Shufersal",Waiting for Sample Feedback,,23303_-_CIEMME_-_GNOCCHI_-_500g__41470.jpg,0,"Ciemme, Italy",Shufersal,,"000101 - Potato gnocchi 500gr [Ciemme, Italy][Shufersal]",,Yes.,ciemme@ciemme.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#097,
"Ciemme, Italy ShipTo Shufersal",Waiting for Sample Feedback,,Il-Poeta-Gluten-Free_Chicche-pomodoro-500g.png,0,"Ciemme, Italy",Shufersal,,"000068 - tomatoes
  gnocchi 500gr [Ciemme, Italy][Shufersal]",,Yes.,ciemme@ciemme.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#123,
"Ciemme, Italy ShipTo Shufersal",Sampling Done,,471799011_0_640x640.jpg,0,"Ciemme, Italy",Shufersal,,"000069 - spinach
  gnocchi 500gr [Ciemme, Italy][Shufersal]",,Yes.,ciemme@ciemme.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#124,
"Ciemme, Italy ShipTo Shufersal",Sample Feedback Received ,,ciemme-gnocchi-pasta-distributors-suppliers-importers-india1-1.jpg,0,"Ciemme, Italy",Shufersal,"Potato Gnocchi - with/ without gluten, Shufersal","000071 - mini
  potato gnocchi 500gr [Ciemme, Italy][Shufersal]",,Yes.,ciemme@ciemme.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#125,
"Ciemme, Italy ShipTo Shufersal",Sample Feedback Received ,,"81Eti2x0pyL._AC_UF894,1000_QL80_.jpg",0,"Ciemme, Italy",Shufersal,,"000076 - Gluten-free gnocchi, 500 gr (KOSHER FOR PASSOVER) [Ciemme, Italy][Shufersal]",,Yes.,ciemme@ciemme.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#128,
"Conservas Friscos, S.A., Spain ShipTo Foodz",New,,,0,"Conservas Friscos, S.A., Spain",Foodz,"Tuna Fish, Foodz",,,Yes.,acliente@friscos.es,,,,"more samples in fedex 
287448207139
287448132468",,,,,UPS,1Z79478W6790685578,,,,,,"By Operation Manager on 26 Mar, 2025","By Operation Manager on 20 Apr, 2025",#150,
"Coppenrath Feingebäck GmbH, Germany ShipTo Shufersal",Sample Feedback Received ,,4006952005779.jpg,0,"Coppenrath Feingebäck GmbH, Germany",Shufersal,"double cookey gluten free, Shufersal","000100 - double cookey gluten free / Green Sandwich Cookie [Coppenrath Feingebäck GmbH, Germany][Shufersal]",,Yes.,info@coppenrath-feingebaeck.de,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#096,
"Crich, Italy ShipTo Shufersal",,,,0,"Crich, Italy",Shufersal,,,,,nuovacrich@crich.it,,,,Crackers (Conventional),,,Paid,,DHL,4878023485,,"STP_SALTED CRACKERS G 250_UK.pdf, STP_CRACKERS G 250_UK.pdf, STP_WHOLE WHEAT CRACKERS G 250_UK.pdf",27/10/2024,,,"By Udi Stryk on 20 Oct, 2024","By Udi Stryk on 28 Dec, 2024",#142,Samples arrived at Destination airport
"Crich, Italy ShipTo Shufersal",,,SN2418_Crich_Hazelnut_Wafers_250_g_VI556600.jpg,0,"Crich, Italy",Shufersal,,"000142 - Wafers 250g Hazelnut [Crich, Italy][Shufersal]",,Yes.,nuovacrich@crich.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#136,
"Crich, Italy ShipTo Shufersal",,,PNSHK-BP_305934-front-zoom.jpg,0,"Crich, Italy",Shufersal,,"000143 - Wafers 250g cocoa
 [Crich, Italy][Shufersal]",,Yes.,nuovacrich@crich.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#137,
"Crich, Italy ShipTo Shufersal",,,crich-250-g-crich-vanilla-wafers.jpg,0,"Crich, Italy",Shufersal,"Wafers 250g , Shufersal","000144 - Wafers 250g Vanilla [Crich, Italy][Shufersal]",,Yes.,nuovacrich@crich.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#138,
"Crich, Italy ShipTo",New,,,0,"Crich, Italy",,,"000143 - Wafers 250g cocoa
 [Crich, Italy][Shufersal], 000331 - Wafers cappuccino 250 gr crich
 [Crich, Italy][Shufersal]",,,nuovacrich@crich.it,,,,,,,,,,,,,,,,"By Success Management on 31 Dec, 2024","By Success Management on 31 Dec, 2024",#144,
"Crispy food, Denmark ShipTo Shufersal",,,,0,"Crispy food, Denmark",Shufersal,,,,,hma@crispyfood.com,,,,Crackers (Conventional),,,Paid,,UPS,1ZF8Y1780496370108,,1ZF8Y1780496370108.AWB.pdf,27/10/2024,,,"By Udi Stryk on 20 Oct, 2024","By Udi Stryk on 19 Jan, 2025",#143,Samples arrived at Destination airport
"Crispy food, Denmark ShipTo Shufersal",,,Gaia-Cornflakes-front.jpg,0,"Crispy food, Denmark",Shufersal,"CORNFLAKES SHUFERSAL 750 GR., Shufersal","000093 - CORNFLAKES SHUFERSAL 750 GR. [Crispy food, Denmark][Shufersal]",,Yes.,hma@crispyfood.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#090,
"Daelmans, Netherlands ShipTo Shufersal",,,712PV2opsML.jpg,0,"Daelmans, Netherlands",Shufersal,"Dutch Butter Cookies, Shufersal","000085 - Dutch Butter Cookies [Daelmans, Netherlands][Shufersal]",,Yes.,webshop@daelmansgroup.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#079,
"Daelmans, Netherlands ShipTo Shufersal",,,daelmans-stroopwafels-original-caramel-cube-box.jpg,0,"Daelmans, Netherlands",Shufersal,,"000086 - Dutch Caramel Wafers [Daelmans, Netherlands][Shufersal]",,Yes.,webshop@daelmansgroup.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#084,
"EuroSnacks/ FornoDamiani, Italy ShipTo Shufersal",,,ing_SFOGLIETTE_180g_rosemary.jpg,0,"EuroSnacks/ FornoDamiani, Italy",Shufersal,,"000088 - SFOGLIETTE ROSEMARY [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,Yes.,export@fornodamiani.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#080,
"EuroSnacks/ FornoDamiani, Italy ShipTo Shufersal",,,ing_SFOGLIETTE_180g_pizza.jpg,0,"EuroSnacks/ FornoDamiani, Italy",Shufersal,"sfogliette salty snacks, 180 gr, Shufersal","000078 - sfogliette pizza 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,Yes.,export@fornodamiani.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#129,
"EuroSnacks/ FornoDamiani, Italy ShipTo Shufersal",,,ing_SFOGLIETTE_180g_olive.jpg,0,"EuroSnacks/ FornoDamiani, Italy",Shufersal,,"000079 - sfogliette
  with olives 180 gr [EuroSnacks/ FornoDamiani, Italy][Shufersal]",,Yes.,export@fornodamiani.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#130,
"Fiore di Puglia, Italy ShipTo Leiman Schlussel Ltd",New,,,0,"Fiore di Puglia, Italy",Leiman Schlussel Ltd,"cracker 180 G , Leiman Schlussel Ltd",,,,export@fioredipuglia.com,,,,,,,,,FEDEX,288786092640  ,,,28/5/2025,,,"By Operation Manager on 25 May, 2025","By Operation Manager on 25 May, 2025",#155,
"Gandola Biscotti SpA, Italy ShipTo Ta'aman",New,,,0,"Gandola Biscotti SpA, Italy",Ta'aman,"Chocolate Spread, Ta'aman",,,,info@gandolabiscotti.it,,,,,,,,,FEDEX,286087362890,,,,,No,"By Operation Manager on 18 Mar, 2025","By Operation Manager on 18 Mar, 2025",#148,
"Helwa, Netherlands ShipTo Shufersal",,,0e5313be7a8831b8ed60f8dab3c2df10.jpg,0,"Helwa, Netherlands",Shufersal,"No-added sugar Chocolate-covered wafers, Shufersal","000104 - wafers no added sugar 21.5g*3 [Helwa, Netherlands][Shufersal]",,Yes.,info@helwa.nl,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#102,
"Helwa, Netherlands ShipTo Shufersal",,,convert.jpg,0,"Helwa, Netherlands",Shufersal,,"000105 - No added sugar, 150 gr. Chocolate wafer [Helwa, Netherlands][Shufersal]",,Yes.,info@helwa.nl,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#104,
"Icam S.p.A., United States ShipTo Foodz",New,,,0,"Icam S.p.A., United States",Foodz,"Chocolate bars, Foodz",,,,export@icamcioccolato.it,,,,,,,,,UPS,1ZW649650496502831,,,,,,"By Operation Manager on 6 Apr, 2025","By Operation Manager on 6 Apr, 2025",#151,
"Icam, Italy ShipTo Shufersal",,,chocolate-icam-cioccolatto-dark-72-cacao-100g-chocolate-icam-cioccolatto-dark-72-cacao-100g.jpg,0,"Icam, Italy",Shufersal,"Chocolate Tablets, 100Gr. Sugar-Free, Shufersal","000089 - Dark Chocolate 72% Sugar-Free [Icam, Italy][Shufersal]",,Yes.,info@icamcioccolato.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#083,
"Icam, Italy ShipTo Shufersal",,,20231130064913.-283x283.jpg,0,"Icam, Italy",Shufersal,,"000090 - Milk Chocolate 32% Sugar-Free with Hazelnuts [Icam, Italy][Shufersal]",,Yes.,info@icamcioccolato.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#085,
"Icam, Italy ShipTo Shufersal",,,8006070072055.jpg,0,"Icam, Italy",Shufersal,,"000091 - Milk Chocolate 32% Sugar-Free [Icam, Italy][Shufersal], 000273 - ממרח אגוזי לוז ללא שמן דקל שופרסל 750 גרם
 [Nutkao, Italy][Ta'aman], 000274 - Hazelnut spread without palm oil, Shufersal, 350 grams
 [Nutkao, Italy][Ta'aman]",,Yes.,info@icamcioccolato.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#088,
"Krüger GmbH &amp; Co. KG, Germany ShipTo Ta'aman",New,,,0,"Krüger GmbH &amp; Co. KG, Germany",Ta'aman,"Chocolate Spread, Ta'aman",,,,info@krueger-group.com,,,,,,,,,UPS,1Z6487750495869556,,,19/3/2025,,No,"By Operation Manager on 18 Mar, 2025","By Operation Manager on 18 Mar, 2025",#149,
"La Doria, Italy ShipTo Shufersal",,,althea-sauce-bolognese-120gr.jpg,0,"La Doria, Italy",Shufersal,,"000097 - TOMATO PASTA SAUCE BASE FOR BOLOGNSE [La Doria, Italy][Shufersal]",,Yes.,odvestero@gruppoladoria.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#093,
"La Doria, Italy ShipTo Shufersal",,,Napoletana.png,0,"La Doria, Italy",Shufersal,"Tomato based Paste sauces, 350 gr, Shufersal","000098 - Neapolitan sauce 350 gr [La Doria, Italy][Shufersal]",,Yes.,odvestero@gruppoladoria.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#094,
"La Doria, Italy ShipTo Shufersal",,,La-Doria-polpa.jpg,0,"La Doria, Italy",Shufersal,"Finely Chopped Tomatoes 3x400, Shufersal","000042 - Finely Chopped Tomatoes 3x400 [La Doria, Italy][Shufersal]",,Yes.,odvestero@gruppoladoria.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#118,
"La Doria, Italy ShipTo Shufersal",,,sugo_althea_basilico.jpg,0,"La Doria, Italy",Shufersal,,"000106 - TOMATO PASTA SAUCE WITH BASILICO 350 G [La Doria, Italy][Shufersal]",,Yes.,odvestero@gruppoladoria.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#132,
"La Doria, Italy ShipTo Shufersal",,,Napoletana.png,0,"La Doria, Italy",Shufersal,"Tomato Pasta Sauces, 350 gr., Shufersal","000107 - TOMATO PASTA SAUCE GARLIC 350 GR. [La Doria, Italy][Shufersal], 000269 - Organic tomato sauce with garlic and oregano, 350 grams Shufersal
 [La Doria, Italy][Shufersal], 000270 - Organic tomato sauce for pasta with green basil, 350 grams Shufersal
 [La Doria, Italy][Shufersal], 000272 - Organic diced tomatoes 400 grams, Shufersal. [La Doria, Italy][Shufersal]",,Yes.,odvestero@gruppoladoria.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#133,
"La Mole, Italy ShipTo Shufersal",,,"Ep5dbDi30SnKyvH.jpg, Image_Editor__54_-removebg-preview.png, Image_Editor__53_-removebg-preview.png, GRI28.jpg, grisini-zi-smakom-pici-sfornatini-la-mole-120g.jpg",0,"La Mole, Italy",Shufersal,,"000227 - Sfornatini 140g [La Mole, Italy][Shufersal]",,Yes.,info@la-mole.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#139,
"La Mole, Italy ShipTo Shufersal",,,"PitaChipsPaprika(LaMole)90g@CHIPSPITAPAP.jpg, 2634.jpg, La-Mole-chips.jpg",0,"La Mole, Italy",Shufersal,"Pita Chips & Grissini, Shufersal","000228 - Pita Chips (Natural, Pizza, Paprika, Garlic, Herbs) [La Mole, Italy][Shufersal]",,Yes.,info@la-mole.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#140,
"Maas Intersales, Netherlands ShipTo Shufersal",,,convert.jpg,0,"Maas Intersales, Netherlands",Shufersal,"organic chestnuts, Shufersal","000060 - organic chestnuts [Maas Intersales, Netherlands][Shufersal]",,Yes.,info@maas-intersales.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#122,
"Maas Intersales, Netherlands ShipTo Shufersal",,,XN055B_000_001__36033.png,0,"Maas Intersales, Netherlands",Shufersal,"MUNCHIES SPICY RICE AND  PEANUTS 400GR, Leiman Schlussel Ltd","000074 - MUNCHIES SPICY RICE AND PEANUTS 400GR [Maas Intersales, Netherlands][Shufersal]",,Yes.,info@maas-intersales.com,,,,FedEx 772762932234 ,,,Paid,Paid,DHL,IL4456884.22664 ,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Operation Manager on 23 Mar, 2025",#126,
"Maas Intersales, Netherlands ShipTo Shufersal",,,1481_1024x1024.jpg,0,"Maas Intersales, Netherlands",Shufersal,,"000075 - MUNCHIES SPICY RICE AND PEANUTS 200GR [Maas Intersales, Netherlands][Shufersal]",,Yes.,info@maas-intersales.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#127,
"Mueloliva , Spain ShipTo Shufersal",,,large_0540b464-fa5d-43c7-a396-1a792dbf4efe.webp,0,"Mueloliva , Spain",Shufersal,,"000081 - 750ML EXTRA VIRGIN OLIVE OIL [Mueloliva , Spain][Marav Mazonkol (Osher Ad)]",,Yes.,ecommerce@mueloliva.es,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#131,
"Ozgur, Turkey ShipTo Shufersal",,,202301_UK_SULTANAS.jpg,0,"Ozgur, Turkey",Shufersal,"Sultanas Organic 250 and 500  gr., Shufersal","000031 - Sultana raisins, Organic 250 gr, Shufersal [Ozgur, Turkey][Shufersal], 000264 - Organic dried pitted prunes, Green brand, 250 grams,
Shufersal
 [Serena, Bulgary][Shufersal], 000265 -  Organic Pitted Dried Black Cherries 100 grams, Shufersal [Serena, Bulgary][Shufersal], 000266 - Sultana raisins, Organic 500 gr. Shufersal [Ozgur, Turkey][Shufersal]",,Yes.,info@ozgurfoods.com,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#112,
"Pally biscuits, Netherlands ShipTo",New,,,0,"Pally biscuits, Netherlands",,"Petit Beurre Biscuits , FoodzShufersal","000440 - Pally biscuits Speculoos 250 gram
 [Pally biscuits, Netherlands][FoodzShufersal], 000433 - Petit Beurre-Pally Biscuits  [Pally biscuits, Netherlands][FoodzShufersal]",,,jos.vanmersbergen@pallybiscuits.com,,,,,,,,,UPS,,,,,,"Yes, Send Me Proposal","By Operation Manager on 18 Mar, 2025","By Operation Manager on 18 Mar, 2025",#145,
"Pastificio Mennucci S.P.A, Italy ShipTo Shufersal",,,icon-512-512-true-57f37f4cee9adec35b72a8b5ffb6d4cb.png,0,"Pastificio Mennucci S.P.A, Italy",Shufersal,"Pasta - gluten-free 400 gr, Shufersal","000026 - penne gluten free 400 gr [Pastificio Mennucci S.P.A, Italy][Shufersal]",,Yes.,g.salvadori@mennucci.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#109,
"Pastificio Mennucci S.P.A, Italy ShipTo Shufersal",,,icon-512-512-true-57f37f4cee9adec35b72a8b5ffb6d4cb.png,0,"Pastificio Mennucci S.P.A, Italy",Shufersal,,"000027 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][], 000434 - Gluten free spaghetti [Pastificio Mennucci S.P.A, Italy][Ta'aman]",,Yes.,g.salvadori@mennucci.it,,,,,,,Paid,Paid,DHL,IL4456884.22664,,,16/7/2024,Samples are good to continue with,"Yes, Send Me Proposal","By Udi Stryk on 6 Oct, 2024","By Udi Stryk on 13 Nov, 2024",#110,
